night,observationStartMJD,azimuth,altitude,rotTelPos,rotSkyPos,filter,band,scheduler_note,survey
95,61301.97870125697,348.871284873883,48.30518678889365,16.25935338996004,64.11878912783037,r_57,r,greedy r,WFD (greedy)
96,61302.97953449838,267.670504418674,33.642307188095685,-16.566585828839774,41.52522530337437,r_57,r,"twilight_near_sun, 0",twilight
97,61304.19860703004,16.472634425077977,54.99520583300544,-48.94750369195769,153.1317981268052,z_20,z,"templates iz, 7, 46",templates
98,61304.97981058107,350.30108840009177,67.55207869509924,-44.683686986113464,126.38094631100802,r_57,r,greedy r,WFD (greedy)
105,61312.3029392349,234.49588223916552,58.359239184352155,-53.333583423522086,40.27155361934834,r_57,r,"DD:ELAISS1, 20260928, 2, 1107",DDF
106,61313.200374194035,48.82691623571777,54.683195671956526,1.3171183421121384,129.3249833406602,g_6,g,"DD:XMM_LSS, 20260929, 0, 246",DDF
107,61313.98353394775,4.2615332085739235,72.52727490153383,-25.81271787753112,119.72901218663289,r_57,r,greedy r,WFD (greedy)
108,61315.200750569995,97.1741659686809,54.27323683988539,16.876922402344146,149.438320584989,g_6,g,"DD:ECDFS, 20261001, 0, 1508",DDF
109,61315.9845016491,342.81409371135976,68.80370578926723,49.51091083451064,25.61867943334755,r_57,r,greedy r,WFD (greedy)
110,61316.985017461055,34.409231240565376,58.563917535037376,-4.7103388802394495,124.0961622191204,r_57,r,greedy r,WFD (greedy)
111,61317.98538227033,358.4613362279121,72.76593988102746,-34.19403318036519,122.96844435741583,r_57,r,greedy r,WFD (greedy)
112,61318.98645701074,260.76188724781804,33.57457222541238,-23.25238883856592,45.30105917812151,i_39,i,"twilight_near_sun, 0",twilight
113,61320.20122103731,201.90544372822575,75.02862110350618,-41.42702779189821,337.9815814185141,r_57,r,"DD:ELAISS1, 20261006, 3, 1115",DDF
114,61320.98690696434,328.2944877998206,74.17951903093656,-37.35784975259988,99.23918875537699,r_57,r,greedy r,WFD (greedy)
